T1 Molecular Pathology Assays,Braf gene,81210,"1, 2, 3, 4",Alabama,$196.89
T1 Molecular Pathology Assays,Braf gene,81210,"1, 2, 3, 4",Alaska,$196.89
T1 Molecular Pathology Assays,Braf gene,81210,"1, 2, 3, 4",Arizona,$196.89
T1 Molecular Pathology Assays,Braf gene,81210,"1, 2, 3, 4",Arkansas,$196.89
T1 Molecular Pathology Assays,Braf gene,81210,"1, 2, 3, 4",Colorado,$196.89
T1 Molecular Pathology Assays,Braf gene,81210,"1, 2, 3, 4",Connecticut,$196.89
T1 Molecular Pathology Assays,Braf gene,81210,"1, 2, 3, 4",Delaware,$196.89
T1 Molecular Pathology Assays,Braf gene,81210,"1, 2, 3, 4",District of Columbia,$196.89
T1 Molecular Pathology Assays,Braf gene,81210,"1, 2, 3, 4",Empire New York,$196.89
T1 Molecular Pathology Assays,Braf gene,81210,"1, 2, 3, 4",Florida,$196.89
T1 Molecular Pathology Assays,Braf gene,81210,"1, 2, 3, 4",Georgia,$196.89
T1 Molecular Pathology Assays,Braf gene,81210,"1, 2, 3, 4",Hawaii,$196.89
T1 Molecular Pathology Assays,Braf gene,81210,"1, 2, 3, 4",Idaho,$196.89
T1 Molecular Pathology Assays,Braf gene,81210,"1, 2, 3, 4",Illinois,$196.89
T1 Molecular Pathology Assays,Braf gene,81210,"1, 2, 3, 4",Indiana,$196.89
T1 Molecular Pathology Assays,Braf gene,81210,"1, 2, 3, 4",Iowa,$196.89
T1 Molecular Pathology Assays,Braf gene,81210,"1, 2, 3, 4",Kentucky,$196.89
T1 Molecular Pathology Assays,Braf gene,81210,"1, 2, 3, 4",Louisiana,$196.89
T1 Molecular Pathology Assays,Braf gene,81210,"1, 2, 3, 4",Maine,$196.89
T1 Molecular Pathology Assays,Braf gene,81210,"1, 2, 3, 4",Maryland,$196.89
T1 Molecular Pathology Assays,Braf gene,81210,"1, 2, 3, 4",Massachusetts,$196.89
T1 Molecular Pathology Assays,Braf gene,81210,"1, 2, 3, 4",Michigan,$196.89
T1 Molecular Pathology Assays,Braf gene,81210,"1, 2, 3, 4",Minnesota,$196.89
